Titre,Localisation,Prix,Année-Modèle,Boite de vitesses,Type de carburant,Kilométrage,Marque,Modèle,Nombre de portes,Origine,Première main,Puissance fiscale,État,ABS,Airbags,CD/MP3/Bluetooth,Caméra de recul,Climatisation,ESP,Jantes aluminium,Limiteur de vitesse,Ordinateur de bord,Radar de recul,Régulateur de vitesse,Sièges cuir,Système de navigation/GPS,Toit ouvrant,Verrouillage centralisé à distance,Vitres électriques
hyundai accent 2019,"2 Mars, Casablanca",137 000 DH,2019,Manuelle,Diesel,120 000 - 129 999,Hyundai,Accent,5.0,WW au Maroc,Oui,6 CV,Excellent,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
voiture Citroën modèle 2004 automatique,"Hay Saada, Fès",22 000 DH,2004,Automatique,Essence,170 000 - 179 999,Citroen,C3,3.0,Dédouanée,Non,9 CV,Très bon,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
opel Astra tte option en excellent etat,"Toute la ville, Sidi Slimane",163 000 DH,2018,Manuelle,Diesel,150 000 - 159 999,Opel,Astra,5.0,WW au Maroc,Oui,6 CV,Excellent,True,True,True,True,True,True,True,True,True,True,True,False,False,False,True,True
Citroen c1,"Ahlane, Tanger",52 000 DH,2008,Manuelle,Essence,160 000 - 169 999,Citroen,C1,5.0,WW au Maroc,Non,6 CV,Très bon,True,True,True,False,True,True,False,False,False,False,False,False,False,False,False,True
Hyundai,"Route de Sefrou, Fès",71 000 DH,2009,Manuelle,Diesel,350 000 - 399 999,Hyundai,Santa Fe,5.0,WW au Maroc,Non,9 CV,Très bon,True,True,True,True,True,False,True,False,False,False,False,False,False,False,True,True
,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Ford Kuga Diesel Manuelle 2016 à Casablanca,"Maarif, Casablanca",153 000 DH,2016,Manuelle,Diesel,180 000 - 189 999,Ford,Kuga,5.0,WW au Maroc,Non,8 CV,Très bon,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Nissan Qashqai Essence Automatique 2022 à Rabat,"Hay Riad, Rabat",240 000 DH,2022,Automatique,Essence,50 000 - 54 999,Nissan,Qashqai,5.0,WW au Maroc,Oui,6 CV,Excellent,False,False,False,True,True,False,False,True,True,True,True,False,True,False,False,True
fiat  uno model 2001,"Abattoirs, Agadir",30 000 DH,2001,Manuelle,Essence,200 000 - 249 999,Fiat,Uno,5.0,WW au Maroc,Non,6 CV,Très bon,True,False,False,False,False,False,True,False,False,True,True,True,False,False,False,False
kia Sportage,"Centre ville, Tanger",270 000 DH,2020,Automatique,Diesel,40 000 - 44 999,Kia,Sportage,5.0,WW au Maroc,Oui,8 CV,Excellent,True,True,True,True,True,True,True,True,True,True,True,False,True,False,True,True
jeep grand cherokee,"Hay Riad, Rabat",130 000 DH,2015,Automatique,Diesel,350 000 - 399 999,Jeep,Grand Cherokee,5.0,WW au Maroc,Non,12 CV,Très bon,True,True,True,False,True,True,True,True,True,True,True,False,True,False,True,True
Chevrolet Aveo Essence Manuelle 2005 à Marrakech,"Mabrouka, Marrakech",43 000 DH,2005,Manuelle,Essence,200 000 - 249 999,Chevrolet,Aveo,5.0,Dédouanée,Non,8 CV,Très bon,False,True,False,False,True,False,True,False,False,False,False,False,False,False,True,True
Audi Q5,"Ville Nouvelle, Meknès",185 000 DH,2011,Automatique,Diesel,170 000 - 179 999,Audi,Q5,5.0,WW au Maroc,,7 CV,Très bon,True,True,True,False,True,True,True,True,True,True,True,True,False,False,True,True
Volkswagen Coccinelle Diesel Automatique 2020,"Hay Riad, Rabat",265 000 DH,2020,Automatique,Diesel,40 000 - 44 999,Volkswagen,Coccinelle,3.0,WW au Maroc,Oui,8 CV,Excellent,False,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
بيجو 508 ديزل يدوي 2011 في الدار البيضاء,"Hay Hassani, Casablanca",90 000 DH,2011,Manuelle,Diesel,190 000 - 199 999,Peugeot,508,5.0,WW au Maroc,Oui,6 CV,Excellent,False,False,True,False,False,False,True,False,False,False,False,True,True,False,True,True
Peugeot 208,"Hay Hassani, Casablanca",168 000 DH,2021,Manuelle,Diesel,0 - 4 999,Peugeot,208,5.0,WW au Maroc,Non,6 CV,Très bon,False,True,False,True,True,False,True,True,False,True,True,True,True,False,True,True
Dacia,"Autre secteur, El Jadida",145 000 DH,2017,Manuelle,Diesel,190 000 - 199 999,Dacia,Sandero,5.0,WW au Maroc,Non,6 CV,Très bon,True,False,True,True,True,False,True,True,False,False,False,True,True,False,False,True
Arkana Hybride,"2 Mars, Casablanca",329 000 DH,2023,Automatique,Hybride,20 000 - 24 999,Renault,Arkana,5.0,WW au Maroc,Oui,9 CV,Excellent,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Honda CR-V Essence Automatique 2007 à Agadir,"Tilila, Agadir",72 000 DH,2007,Automatique,Essence,200 000 - 249 999,Honda,CR-V,5.0,WW au Maroc,Non,11 CV,Excellent,True,True,True,False,True,True,True,True,False,False,True,False,True,True,True,True
uno,"Afaq, Marrakech",27 000 DH,1997,Automatique,Essence,180 000 - 189 999,Fiat,Uno,5.0,Dédouanée,Oui,6 CV,Très bon,True,True,True,False,False,False,True,False,False,False,False,False,False,False,True,True
,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
بيجو 207 مطور كحل صغير,"Sidi Bernoussi, Casablanca",55 000 DH,2008,Manuelle,Essence,180 000 - 189 999,Peugeot,207,5.0,WW au Maroc,Non,7 CV,Très bon,False,True,True,False,False,False,True,False,True,True,False,False,True,False,True,True
Volkswagen Passat CC Diesel Manuelle 2014 à Rabat,"Hay el Fath, Rabat",149 000 DH,2014,Manuelle,Diesel,190 000 - 199 999,Volkswagen,Passat CC,5.0,Dédouanée,Non,6 CV,Très bon,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False
Fiat Palio Diesel Manuelle 2000 à Mohammedia,"Hay Al Horria, Mohammedia",25 000 DH,2000,Manuelle,Diesel,300 000 - 349 999,Fiat,Palio,5.0,,Non,7 CV,Correct,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
BMW Série 7 Diesel Automatique 2016 à Casablanca,"Ain Sebaa, Casablanca",400 000 DH,2016,Automatique,Diesel,180 000 - 189 999,BMW,Série 7,5.0,Importée neuve,Non,12 CV,Très bon,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Santa fe,"Ain Sebaa, Casablanca",275 000 DH,2019,Automatique,Diesel,70 000 - 74 999,Hyundai,Santa Fe,5.0,WW au Maroc,Oui,9 CV,Excellent,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
jeep renegade,"Anfa, Casablanca",175 000 DH,2021,Automatique,Diesel,120 000 - 129 999,Jeep,Renegade,3.0,WW au Maroc,,6 CV,Très bon,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
Renault Clio essence Manuelle 2006 à Meknès,"Abdelmoumen, Casablanca",29 000 DH,2006,Manuelle,Essence,150 000 - 159 999,Chevrolet,Alero,5.0,WW au Maroc,Non,9 CV,Excellent,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
misbshi bajiro  modil 86 dwana 93,"Agadir Oufella, Agadir",55 000 DH,1986,Manuelle,Diesel,190 000 - 199 999,Mitsubishi,Pajero,3.0,Dédouanée,Non,9 CV,Bon,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,True
Citroën C3,"Autre secteur, Rabat",135 000 DH,2021,Manuelle,Diesel,85 000 - 89 999,Citroen,C3,5.0,WW au Maroc,Non,6 CV,Neuf,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Fiat Grande Punto Diesel Manuelle 2014 à Mediouna,"Toute la ville, Mediouna",75 000 DH,2014,Manuelle,Diesel,140 000 - 149 999,Fiat,Grande Punto,5.0,WW au Maroc,Non,5 CV,Très bon,True,True,False,False,True,False,False,True,False,True,False,False,False,False,True,True
Dacia Logan très bon état,"Hay el Fath, Rabat",107 000 DH,2018,Manuelle,Diesel,130 000 - 139 999,Dacia,Logan,5.0,WW au Maroc,Non,6 CV,Excellent,True,True,True,False,True,True,False,True,True,False,True,False,False,False,True,True
Renault Clio 4,"Oulfa, Casablanca",120 000 DH,2017,Manuelle,Diesel,90 000 - 94 999,Renault,Clio,5.0,WW au Maroc,Oui,6 CV,Excellent,True,True,True,True,True,True,True,True,True,True,True,False,True,False,True,True
Citroen C4 Diesel Manuelle 2008 à Casablanca,"La Gironde, Casablanca",75 000 DH,2008,Manuelle,Diesel,200 000 - 249 999,Citroen,C4,5.0,WW au Maroc,Oui,6 CV,Très bon,True,True,False,False,True,True,True,False,False,True,True,False,False,False,False,True
peugeot 206 essence 2002,"Hassan, Rabat",45 000 DH,2002,Manuelle,Essence,120 000 - 129 999,Peugeot,206,5.0,WW au Maroc,Non,6 CV,Bon,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True
Skoda Octavia Diesel Manuelle 2014 à Casablanca,"Ben M'sick, Casablanca",138 000 DH,2014,Manuelle,Diesel,130 000 - 139 999,Skoda,Octavia,5.0,WW au Maroc,Non,8 CV,Neuf,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
citroen outomatic,"Toute la ville, N'khila",95 000 DH,2014,Automatique,Diesel,110 000 - 119 999,Citroen,Berlingo,5.0,WW au Maroc,Oui,6 CV,Très bon,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Touareg V6,"Aïn Chock, Casablanca",175 000 DH,2017,Automatique,Diesel,200 000 - 249 999,Volkswagen,Touareg,5.0,WW au Maroc,Non,12 CV,Très bon,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
BMW serie5 très bonne etat,"2 Mars, Casablanca",98 000 DH,2005,Manuelle,Diesel,300 000 - 349 999,BMW,Série 5,5.0,Dédouanée,Non,10 CV,Excellent,True,True,True,False,True,True,True,False,True,False,True,True,False,False,True,True
Peugeot 308 Diesel Automatique 2022 à Meknès,"Zerhounia, Meknès",265 000 DH,2022,Automatique,Diesel,45 000 - 49 999,Peugeot,308,5.0,Dédouanée,Oui,6 CV,Excellent,True,True,True,True,True,True,True,True,True,True,True,False,True,False,True,True
Fiat furino toute option,"Centre, El Jadida",123 000 DH,2021,Manuelle,Diesel,45 000 - 49 999,Fiat,Fiorino,,WW au Maroc,Oui,5 CV,Neuf,True,True,True,False,True,True,False,False,True,True,False,False,False,False,True,True
volkswagen VW Golf 4 Pacific,"Centre, Kénitra",65 000 DH,2002,Manuelle,Diesel,350 000 - 399 999,Volkswagen,Golf 4,5.0,Dédouanée,Non,8 CV,Très bon,True,True,True,False,True,False,True,True,True,False,True,True,True,False,True,True
,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Skoda karoq,"Ain Sebaa, Casablanca",217 000 DH,2019,Automatique,Diesel,100 000 - 109 999,Skoda,Karoq,5.0,WW au Maroc,Oui,8 CV,Excellent,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Fiat Punto Diesel Manuelle 2012 à Meknès,"Ancienne Médina, Meknès",55 000 DH,2012,Manuelle,Diesel,200 000 - 249 999,Fiat,Punto,5.0,WW au Maroc,Non,5 CV,Très bon,True,True,True,False,True,False,False,False,False,False,False,True,False,False,False,True
Voiture Fiat 500L,"Autre secteur, Mohammedia",115 000 DH,2017,Manuelle,Diesel,95 000 - 99 999,Fiat,500L,5.0,,Non,6 CV,Très bon,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
kia picanto,"Agdal, Oujda",62 000 DH,2008,Manuelle,Essence,5 000 - 9 999,Kia,Picanto,5.0,WW au Maroc,Oui,6 CV,Très bon,True,False,True,False,False,False,False,False,False,False,False,True,False,False,True,True
Opel Astra h,"Toute la ville, Taza",73 000 DH,2005,Manuelle,Diesel,0 - 4 999,Opel,Astra,5.0,Dédouanée,Oui,7 CV,Excellent,True,True,True,True,True,True,True,True,True,False,True,False,False,False,True,True
Renault Clio,"Centre ville, Tétouan",58 000 DH,2004,Manuelle,Diesel,10 000 - 14 999,Renault,Clio,5.0,Importée neuve,Non,6 CV,Bon,True,True,True,False,False,False,True,False,True,False,False,False,False,False,True,True
Essence Manuelle 2012 à Salé,"Abouab Sala, Salé",48 000 DH,2012,Manuelle,Essence,160 000 - 169 999,Chrysler,300 C,5.0,,Non,5 CV,Très bon,True,True,True,False,True,False,False,False,True,False,False,False,False,False,False,False
tiguan r ligne,"Centre ville, Tétouan",350 000 DH,2018,Automatique,Diesel,160 000 - 169 999,Volkswagen,Tiguan,5.0,Importée neuve,Non,9 CV,Excellent,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
Daihatsu terios,"Hay Targa, Marrakech",35 000 DH,2005,Manuelle,Essence,190 000 - 199 999,Daihatsu,Terios,5.0,WW au Maroc,Non,7 CV,Correct,False,False,True,False,True,False,True,False,False,False,False,False,False,False,True,True
Volkswagen touareg,"Centre ville, Tanger",590 000 DH,2022,Automatique,Diesel,45 000 - 49 999,Volkswagen,Touareg,5.0,,Oui,12 CV,Excellent,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Kia Picanto Essence Automatique 2024 à Berrechid,"Toute la ville, Berrechid",168 000 DH,2024,Automatique,Essence,0 - 4 999,Kia,Picanto,5.0,WW au Maroc,Oui,9 CV,Neuf,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Renault Clio Diesel Manuelle 2019 à Midelt,"Toute la ville, Midelt",115 000 DH,2019,Manuelle,Diesel,140 000 - 149 999,Renault,Clio,5.0,WW au Maroc,Non,6 CV,Excellent,False,True,False,False,True,False,True,True,False,False,True,False,False,False,False,True
موضيل 95 ديوانة 2008 اليزي عامرة,"Toute la ville, Souk Sebt Ouled Nemma",46 000 DH,1995,Manuelle,Diesel,250 000 - 299 999,Renault,19,5.0,Dédouanée,Non,7 CV,Excellent,False,True,True,False,True,False,True,False,False,False,False,True,False,False,True,True
Renault kangoo,"Hay Essalam, El Jadida",132 000 DH,2019,Manuelle,Diesel,120 000 - 129 999,Renault,Kangoo,5.0,WW au Maroc,Non,6 CV,Excellent,False,True,True,False,True,True,True,False,True,False,False,False,False,False,True,True
Volvo XC60,"Toute la ville, Béni Mellal",121 999 DH,2011,Automatique,Diesel,250 000 - 299 999,Volvo,XC60,5.0,WW au Maroc,Non,10 CV,Excellent,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Chevrolet Astro Essence Manuelle 2016 à Nador,"Autre secteur, Nador",65 000 DH,2016,Manuelle,Essence,120 000 - 129 999,Chevrolet,Astro,,,,6 CV,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
volkswagen,"Bd Hassan II, Oujda",290 000 DH,2020,Automatique,Diesel,100 000 - 109 999,Volkswagen,Tiguan,5.0,Dédouanée,Non,8 CV,Très bon,True,True,True,True,True,True,True,True,True,True,True,False,True,False,True,True
,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Tiguan dédouaner,"Toute la ville, Guelmim",165 000 DH,2010,Manuelle,Diesel,190 000 - 199 999,Volkswagen,Tiguan,5.0,Dédouanée,Oui,8 CV,Excellent,True,True,True,True,True,True,True,True,True,True,True,False,True,False,True,True
,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ميرسدس بنز كلاس CLA,"El Houda, Agadir",260 000 DH,2014,Automatique,Essence,120 000 - 129 999,Mercedes-Benz,Classe CLA,5.0,Importée neuve,Non,9 CV,Très bon,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Opel Corsa Diesel Manuelle 2021 à Casablanca,"Centre Ville, Casablanca",140 000 DH,2021,Manuelle,Diesel,45 000 - 49 999,Opel,Corsa,5.0,WW au Maroc,Oui,6 CV,Très bon,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Renault Kangoo Diesel Manuelle 2015 à Khouribga,"Toute la ville, Khouribga",130 000 DH,2015,Manuelle,Diesel,110 000 - 119 999,Renault,Kangoo,5.0,WW au Maroc,Oui,6 CV,Excellent,True,True,True,False,True,False,True,False,False,False,False,False,False,False,True,True
DACIA LOGAN ESSENCE,"Targa, Marrakech",87 000 DH,2019,Manuelle,Essence,120 000 - 129 999,Dacia,Logan,5.0,WW au Maroc,Oui,7 CV,Excellent,False,False,True,False,True,False,False,True,True,False,True,False,False,False,True,True
Mercedes-Benz Classe A Diesel Automatique 2021,"Agdal, Marrakech",340 000 DH,2021,Automatique,Diesel,120 000 - 129 999,Mercedes-Benz,Classe A,5.0,WW au Maroc,Oui,8 CV,Très bon,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
volkswagen,"2 Mars, Casablanca",28 000 DH,1996,Manuelle,Essence,30 000 - 34 999,Volkswagen,Golf 3,3.0,WW au Maroc,Non,8 CV,Très bon,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
Peugeot Bipper Diesel Manuelle 2015 à Benslimane,"Lallamaryem, Benslimane",63 000 DH,2015,Manuelle,Diesel,250 000 - 299 999,Peugeot,Bipper,5.0,WW au Maroc,Non,5 CV,Bon,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
ميرسدس بنز كلاس CLA ديزل أوتوماتيك 2019,"Ain Sebaa, Casablanca",320 000 DH,2019,Automatique,Diesel,80 000 - 84 999,Mercedes-Benz,Classe CLA,5.0,WW au Maroc,Non,9 CV,Très bon,True,False,True,True,True,True,True,True,True,False,True,True,False,True,True,True
Tiguan jdida,"El Matar, Tétouan",455 000 DH,2020,Automatique,Diesel,130 000 - 139 999,Volkswagen,Tiguan,,Dédouanée,Oui,10 CV,Excellent,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
dacia stepway,"Centre ville, Tanger",103 000 DH,2017,Manuelle,Diesel,140 000 - 149 999,Dacia,Sandero,5.0,,,6 CV,Très bon,True,True,False,False,True,True,True,True,False,False,True,False,False,False,True,True
Tiguan a vendre,"El Matar, Tétouan",455 000 DH,2020,Automatique,Diesel,140 000 - 149 999,Volkswagen,Tiguan,,Dédouanée,Oui,8 CV,Neuf,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
voiture  a vendre,"Massira 2, Marrakech",82 000 DH,2005,Manuelle,Diesel,0 - 4 999,Volkswagen,Golf 5,5.0,Dédouanée,Non,8 CV,Bon,True,True,True,True,True,False,True,False,True,True,False,False,True,False,True,True
toyota rav 4 2005,"Hamria, Meknès",75 000 DH,2005,Manuelle,Diesel,350 000 - 399 999,Toyota,RAV 4,5.0,WW au Maroc,Non,9 CV,Correct,False,True,True,False,False,False,True,True,True,False,False,False,False,False,True,False
,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Voiture,"Toute la ville, Laâyoune",35 000 DH,2005,Manuelle,Essence,5 000 - 9 999,Fiat,Palio,5.0,WW au Maroc,Non,7 CV,Bon,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Suzuki Maruti Essence Manuelle 2007 à Casablanca,"Sidi Bernoussi, Casablanca",24 000 DH,2007,Manuelle,Essence,5 000 - 9 999,Suzuki,Maruti,5.0,,Oui,5 CV,Excellent,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"طويوطا اوريس 2008 عامرة 1,4 d4d","Toute la ville, Laâyoune",76 000 DH,2008,Manuelle,Diesel,250 000 - 299 999,Toyota,Auris,5.0,WW au Maroc,Non,5 CV,Très bon,True,True,True,False,True,True,True,False,True,True,False,False,False,False,True,True
داسيا دوكير,"Toute la ville, Laâyoune",115 000 DH,2018,Manuelle,Diesel,10 000 - 14 999,Dacia,Dokker,5.0,,Non,6 CV,Excellent,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
voitures bon etat,"Aakkari, Rabat",72 000 DH,2012,Manuelle,Essence,100 000 - 109 999,Suzuki,Grand Vitara,3.0,Importée neuve,Oui,9 CV,Excellent,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Volkswagen Tiguan Diesel Manuelle 2016,"La Siesta, Mohammedia",210 000 DH,2016,Manuelle,Diesel,75 000 - 79 999,Volkswagen,Tiguan,5.0,WW au Maroc,Oui,8 CV,Très bon,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
